Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
montemerlo,2023:08:22,45.475943,9.200466972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/47.jpg,47,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/47.jpg?raw=true"">",,
monterosa,2023:08:19,45.480384,9.143988972,non attivo,Dancing,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/48.jpg,48,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/48.jpg?raw=true"">",,
moulin_rouge,2023:08:22,45.465158,9.198245972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/49.jpg,49,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/49.jpg?raw=true"">",,
museo_della_scienza,2023:08:22,45.46319197,9.170676972,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/50.jpg,50,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/50.jpg?raw=true"">",,
nuovo_ritrovo,2023:08:22,45.47203997,9.202474972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/51.jpg,51,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/51.jpg?raw=true"">",,
odeon_giardino,2023:08:22,45.464649,9.192126,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/52.jpg,52,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/52.jpg?raw=true"">",,
palazzo_belgioioso,2023:08:23,45.46318997,9.180979972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/53.jpg,53,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/53.jpg?raw=true"">",,
palazzo_bigli,2023:08:22,45.46857897,9.193650972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/54.jpg,54,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/54.jpg?raw=true"">",,
palazzo_borromeo,2023:08:22,45.471136,9.193799972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/55.jpg,55,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/55.jpg?raw=true"">",,
palazzo_del_ghiaccio,2023:08:23,45.46072697,9.227259972,non attivo,Palazzetto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/56.jpg,56,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/57.jpg?raw=true"">",,
